РљРѕРґ РґРёР°РїР°Р·РѕРЅР°;РќР°С‡Р°Р»Рѕ РґРёР°РїР°Р·РѕРЅР°;РљРѕРЅРµС† РґРёР°РїР°Р·РѕРЅР°;Р•РјРєРѕСЃС‚СЊ;Р РµРіРёРѕРЅ
901;9012650000;9012699999;50000;Пермь |Пермский край
902;9021500000;9021519999;20000;Свердловская область
902;9021550000;9021569999;20000;Свердловская область
902;9021880000;9021889999;10000;Свердловская область
902;9022530000;9022799999;270000;Свердловская область
902;9024000000;9024009999;10000;Свердловская область
902;9024090000;9024109999;20000;Свердловская область
902;9024400000;9024499999;100000;Свердловская область
902;9024700000;9024799999;100000;Пермский край
902;9025000000;9025039999;40000;Свердловская область
902;9025090000;9025099999;10000;Свердловская область
902;9025830000;9025879999;50000;Свердловская область
902;9026000000;9026499999;500000;Челябинская область
902;9026900000;9026949999;50000;Ханты - Мансийский-Югра автономный округ |Тюменская область
902;9027900000;9028099999;200000;Пермский край
902;9028120000;9028209999;90000;Тюменская область
902;9028240000;9028399999;160000;Ямало - Ненецкий автономный округ |Тюменская область
902;9028500000;9028699999;200000;Тюменская область
902;9028900000;9028999999;100000;Челябинская область
904;9044500000;9044999999;500000;Ханты - Мансийский-Югра автономный округ |Тюменская область
904;9048000000;9048199999;200000;Челябинская область
904;9048400000;9048499999;100000;Пермь |Пермский край
904;9048700000;9048899999;200000;Ханты - Мансийский-Югра автономный округ |Тюменская область
904;9049300000;9049499999;200000;Челябинская область
908;9080000000;9089999999;10000000;Курганская область
950;9504400000;9505649999;1250000;Пермский край
951;9512300000;9512799999;500000;Челябинская область
951;9514300000;9514399999;100000;Челябинская область
951;9519200000;9519969999;770000;Пермский край |Пермский край
952;9523150000;9523499999;350000;Пермский край
952;9526400000;9526649999;250000;Пермский край
952;9526700000;9527249999;550000;Тюменская область
953;9538200000;9538299999;100000;Свердловская область
970;9701010000;9701010999;1000;Уральский регион
971;9711010101;9711010101;1;Уральский регион
800;8001010000;8001019999;10000;Уральский регион
800;8003000000;8003019999;20000;Уральский регион
801;8013000000;8013019999;20000;Уральский регион
802;8023000000;8023019999;20000;Уральский регион
803;8031010000;8031019999;10000;Уральский регион
803;8033000000;8033019999;20000;Уральский регион
804;8041010000;8041019999;10000;Уральский регион
804;8043010000;8043019999;10000;Уральский регион
805;8051010000;8051019999;10000;Уральский регион
805;8053000000;8053019999;20000;Уральский регион
806;8063010000;8063019999;10000;Уральский регион
807;8073010000;8073019999;10000;Уральский регион
808;8083010000;8083019999;10000;Уральский регион
809;8091010000;8091019999;10000;Уральский регион
809;8093000000;8093019999;20000;Уральский регион
342;3422002500;3422007499;5000;Пермь |Пермский край
342;3422010000;3422014999;5000;Пермь |Пермский край
342;3422059000;3422059999;1000;Пермь |Пермский край
342;3422080000;3422089999;10000;Пермь |Пермский край
342;3422100000;3422100799;800;Пермь |Пермский край
342;3422100900;3422102999;2100;Пермь |Пермский край
342;3422104200;3422104999;800;Пермь |Пермский край
342;3422106000;3422109999;4000;Пермь |Пермский край
342;3422120000;3422139999;20000;Пермь |Пермский край
342;3422160000;3422178999;19000;Пермь |Пермский край
342;3422184000;3422185999;2000;Пермь |Пермский край
342;3422187000;3422189999;3000;Пермь |Пермский край
342;3422191000;3422191999;1000;Пермь |Пермский край
342;3422199000;3422199099;100;Пермь |Пермский край
342;3422199700;3422200099;400;Пермь |Пермский край
342;3422200200;3422201799;1600;Пермь |Пермский край
342;3422208300;3422208599;300;Пермь |Пермский край
342;3422208800;3422208999;200;Пермь |Пермский край
342;3422210000;3422249999;40000;Пермь |Пермский край
342;3422260000;3422276899;16900;Пермь |Пермский край
342;3422277000;3422299999;23000;Пермь |Пермский край
342;3422307500;3422307899;400;Пермь |Пермский край
342;3422310000;3422335999;26000;Пермь |Пермский край
342;3422340000;3422352999;13000;Пермь |Пермский край
342;3422354000;3422355999;2000;Пермь |Пермский край
342;3422357000;3422357499;500;Пермь |Пермский край
342;3422359000;3422385199;26200;Пермь |Пермский край
342;3422386300;3422387099;800;Пермь |Пермский край
342;3422387200;3422387399;200;Пермь |Пермский край
342;3422387800;3422388299;500;Пермь |Пермский край
342;3422388800;3422390699;1900;Пермь |Пермский край
342;3422392200;3422393999;1800;Пермь |Пермский край
342;3422396000;3422396999;1000;Пермь |Пермский край
342;3422398000;3422399799;1800;Пермь |Пермский край
342;3422399900;3422399999;100;Пермь |Пермский край
342;3422401000;3422401299;300;Пермь |Пермский край
342;3422401700;3422401999;300;Пермь |Пермский край
342;3422402100;3422402399;300;Пермь |Пермский край
342;3422403000;3422403487;488;Пермь |Пермский край
342;3422410000;3422429999;20000;Пермь |Пермский край
342;3422434000;3422435999;2000;Пермь |Пермский край
342;3422438000;3422449999;12000;Пермь |Пермский край
342;3422460100;3422460499;400;Пермь |Пермский край
342;3422464000;3422468999;5000;Пермь |Пермский край
342;3422470000;3422479999;10000;Пермь |Пермский край
342;3422490000;3422492999;3000;Пермь |Пермский край
342;3422494000;3422500299;6300;Пермь |Пермский край
342;3422503000;3422503099;100;Пермь |Пермский край
342;3422503800;3422503999;200;Пермь |Пермский край
342;3422505900;3422505999;100;Пермь |Пермский край
342;3422506100;3422506499;400;Пермь |Пермский край
342;3422510000;3422530399;20400;Пермь |Пермский край
342;3422530700;3422530899;200;Пермь |Пермский край
342;3422531000;3422535999;5000;Пермь |Пермский край
342;3422540000;3422540099;100;Пермь |Пермский край
342;3422541000;3422541899;900;Пермь |Пермский край
342;3422549100;3422549199;100;Пермь |Пермский край
342;3422549600;3422549899;300;Пермь |Пермский край
342;3422580000;3422586099;6100;Пермь |Пермский край
342;3422586600;3422589999;3400;Пермь |Пермский край
342;3422600000;3422600887;888;Пермь |Пермский край
342;3422601000;3422605399;4400;Пермь |Пермский край
342;3422605424;3422605424;1;Пермь |Пермский край
342;3422605449;3422605559;111;Пермь |Пермский край
342;3422606200;3422606599;400;Пермь |Пермский край
342;3422608000;3422626599;18600;Пермь |Пермский край
342;3422626800;3422639999;13200;Пермь |Пермский край
342;3422640500;3422703299;62800;Пермь |Пермский край
342;3422703600;3422703699;100;Пермь |Пермский край
342;3422703800;3422703999;200;Пермь |Пермский край
342;3422708000;3422719999;12000;Пермь |Пермский край
342;3422728000;3422728599;600;Пермь |Пермский край
342;3422729200;3422729499;300;Пермь |Пермский край
342;3422729900;3422729999;100;Пермь |Пермский край
342;3422740000;3422753151;13152;Пермь |Пермский край
342;3422753728;3422753999;272;Пермь |Пермский край
342;3422754111;3422754525;415;Пермь |Пермский край
342;3422755000;3422757671;2672;Пермь |Пермский край
342;3422758208;3422869999;111792;Пермь |Пермский край
342;3422876000;3422877999;2000;Пермь |Пермский край
342;3422880000;3422905999;26000;Пермь |Пермский край
342;3422907000;3422920975;13976;Пермь |Пермский край
342;3422924000;3422950299;26300;Пермь |Пермский край
342;3422951100;3422954399;3300;Пермский |Пермский край
342;3422955000;3422955999;1000;Пермский |Пермский край
342;3422956100;3422956199;100;Пермский |Пермский край
342;3422956400;3422956449;50;Пермский |Пермский край
342;3422956500;3422959542;3043;Пермский |Пермский край
342;3422959810;3422959859;50;Пермский |Пермский край
342;3422959900;3422960415;516;Пермский |Пермский край
342;3422960500;3422960915;416;Пермский |Пермский край
342;3422961000;3422965899;4900;Пермский |Пермский край
342;3422967000;3422969015;2016;Пермский |Пермский край
342;3422969550;3422969757;208;Пермский |Пермский край
342;3422969775;3422969982;208;Пермский |Пермский край
342;3422970000;3422972127;2128;Пермский |Пермский край
342;3422973100;3422973499;400;Пермский |Пермский край
342;3422973700;3422973955;256;Пермский |Пермский край
342;3422974100;3422974399;300;Пермский |Пермский край
342;3422974500;3422974699;200;Пермский |Пермский край
342;3422975100;3422975799;700;Пермский |Пермский край
342;3422976000;3422977519;1520;Пермский |Пермский край
342;3422978000;3422978999;1000;Пермский |Пермский край
342;3422979100;3422979903;804;Пермский |Пермский край
342;3422980000;3422989999;10000;Пермский |Пермский край
342;3422993100;3422993199;100;Пермь |Пермский край
342;3422993210;3422993259;50;Пермь |Пермский край
342;3422993300;3422993399;100;Пермь |Пермский край
342;3422993410;3422993459;50;Пермь |Пермский край
342;3422996100;3422996299;200;Пермь |Пермский край
342;3422996500;3422996599;100;Пермь |Пермский край
342;3422997100;3422997599;500;Пермский |Пермский край
342;3422997800;3422997999;200;Пермь |Пермский край
342;3422998100;3422998451;352;Пермский |Пермский край
342;3422998600;3422998799;200;Пермский |Пермский край
342;3422999000;3422999999;1000;Пермский |Пермский край
342;3424020000;3424020911;912;Чердынский |Пермский край
342;3424022700;3424022731;32;Чердынский |Пермский край
342;3424023000;3424023199;200;Чердынский |Пермский край
342;3424023300;3424023895;596;Чердынский |Пермский край
342;3424024200;3424024471;272;Чердынский |Пермский край
342;3424024600;3424024799;200;Чердынский |Пермский край
342;3424025200;3424025407;208;Чердынский |Пермский край
342;3424025500;3424025835;336;Чердынский |Пермский край
342;3424027100;3424027611;512;Чердынский |Пермский край
342;3424028000;3424029855;1856;Чердынский |Пермский край
342;3424120000;3424129999;10000;Чайковский |Пермский край
342;3424131424;3424138199;6776;Чайковский |Пермский край
342;3424140000;3424149999;10000;Чайковский |Пермский край
342;3424152000;3424152999;1000;Чайковский |Пермский край
342;3424153100;3424153399;300;Чайковский |Пермский край
342;3424154500;3424154699;200;Чайковский |Пермский край
342;3424155400;3424155799;400;Чайковский |Пермский край
342;3424156100;3424156399;300;Чайковский |Пермский край
342;3424156410;3424156899;490;Чайковский |Пермский край
342;3424157500;3424157899;400;Чайковский |Пермский край
342;3424158500;3424158599;100;Чайковский |Пермский край |Пермский край
342;3424160000;3424166074;6075;Чайковский |Пермский край
342;3424166600;3424166727;128;Чайковский |Пермский край
342;3424167000;3424167999;1000;Чайковский |Пермский край
342;3424170300;3424170799;500;Чайковский |Пермский край
342;3424172200;3424172499;300;Чайковский |Пермский край
342;3424172800;3424172899;100;Чайковский |Пермский край
342;3424173600;3424174999;1400;Чайковский |Пермский край
342;3424176000;3424176999;1000;Чайковский |Пермский край
342;3424178000;3424178499;500;Чайковский |Пермский край
342;3424194500;3424200999;6500;Чайковский |Пермский край
342;3424203500;3424209199;5700;Березники |Пермский край
342;3424220000;3424237999;18000;Березники |Пермский край
342;3424239000;3424279999;41000;Березники |Пермский край
342;3424282300;3424282599;300;Березники |Пермский край
342;3424290000;3424290099;100;Березники |Пермский край
342;3424290400;3424290599;200;Березники |Пермский край
342;3424290800;3424290999;200;Березники |Пермский край
342;3424292000;3424292299;300;Березники |Пермский край
342;3424299300;3424299599;300;Березники |Пермский край
342;3424299900;3424299915;16;Березники |Пермский край
342;3424321000;3424322999;2000;Красновишерский |Пермский край
342;3424324100;3424324999;900;Красновишерский |Пермский край
342;3424325210;3424325269;60;Красновишерский |Пермский край
342;3424325500;3424325599;100;Красновишерский |Пермский край
342;3424326100;3424326399;300;Красновишерский |Пермский край
342;3424326500;3424326699;200;Красновишерский |Пермский край
342;3424326800;3424326999;200;Красновишерский |Пермский край
342;3424327100;3424327299;200;Красновишерский |Пермский край
342;3424330000;3424332999;3000;Красновишерский |Пермский край
342;3424421100;3424421199;100;Усольский |Пермский край
342;3424421300;3424421399;100;Усольский |Пермский край
342;3424422000;3424423199;1200;Усольский |Пермский край
342;3424423400;3424423499;100;Усольский |Пермский край
342;3424423900;3424423999;100;Усольский |Пермский край
342;3424424100;3424424499;400;Усольский |Пермский край
342;3424425100;3424425199;100;Усольский |Пермский край
342;3424426100;3424426199;100;Усольский |Пермский край
342;3424426300;3424426499;200;Усольский |Пермский край
342;3424427100;3424427199;100;Усольский |Пермский край
342;3424430000;3424439999;10000;Усольский |Пермский край
342;3424520000;3424520199;200;Гайнский |Пермский край
342;3424521000;3424521999;1000;Гайнский |Пермский край
342;3424535100;3424535299;200;Гайнский |Пермский край
342;3424535400;3424535699;300;Гайнский |Пермский край
342;3424537200;3424537399;200;Гайнский |Пермский край
342;3424622110;3424622175;66;Юсьвинский |Пермский край
342;3424622210;3424622275;66;Юсьвинский |Пермский край
342;3424622300;3424622399;100;Юсьвинский |Пермский край
342;3424622410;3424622459;50;Юсьвинский |Пермский край
342;3424622510;3424622559;50;Юсьвинский |Пермский край
342;3424622600;3424622807;208;Юсьвинский |Пермский край
342;3424624000;3424624511;512;Юсьвинский |Пермский край
342;3424625110;3424625159;50;Юсьвинский |Пермский край
342;3424625300;3424625399;100;Юсьвинский |Пермский край
342;3424625410;3424625459;50;Юсьвинский |Пермский край
342;3424625710;3424625759;50;Юсьвинский |Пермский край
342;3424626000;3424629999;4000;Юсьвинский |Пермский край
342;3424824400;3424824699;300;Губаха |Пермский край
342;3424830000;3424835099;5100;Губаха |Пермский край
342;3424840000;3424849999;10000;Губаха |Пермский край
342;3424890000;3424890799;800;Губаха |Пермский край
342;3424892000;3424892999;1000;Губаха |Пермский край
342;3424920000;3424929999;10000;Лысьва |Пермский край
342;3424931000;3424933099;2100;Лысьва |Пермский край
342;3424934000;3424936751;2752;Лысьва |Пермский край
342;3424950100;3424950243;144;Лысвенский |Пермский край
342;3424951000;3424951195;196;Лысвенский |Пермский край
342;3424951200;3424951499;300;Лысвенский |Пермский край
342;3424951600;3424951727;128;Лысвенский |Пермский край
342;3424951800;3424952163;364;Лысвенский |Пермский край
342;3424952200;3424952727;528;Лысвенский |Пермский край
342;3424952740;3424952999;260;Лысвенский |Пермский край
342;3424953100;3424953179;80;Лысвенский |Пермский край
342;3424954200;3424954295;96;Лысвенский |Пермский край
342;3424955000;3424955999;1000;Лысвенский |Пермский край
342;3424956100;3424956227;128;Лысвенский |Пермский край
342;3424957100;3424957147;48;Лысвенский |Пермский край
342;3424957192;3424957511;320;Лысвенский |Пермский край
342;3424958100;3424958199;100;Лысвенский |Пермский край
342;3424958210;3424958259;50;Лысвенский |Пермский край
342;3424958400;3424958431;32;Лысвенский |Пермский край
342;3424958500;3424958531;32;Лысьва |Пермский край
342;3424959110;3424959159;50;Лысьва |Пермский край
342;3424960000;3424969999;10000;Лысьва |Пермский край
342;3424990100;3424990199;100;Лысьва |Пермский край
342;3424990400;3424990499;100;Лысьва |Пермский край
342;3424990700;3424990799;100;Лысьва |Пермский край
342;3424994410;3424994459;50;Лысьва |Пермский край
342;3424994700;3424994799;100;Лысьва |Пермский край
342;3424994810;3424994849;40;Лысьва |Пермский край
342;3424997100;3424997499;400;Лысьва |Пермский край
342;3425021000;3425023015;2016;Гремячинск |Пермский край
342;3425023100;3425023299;200;Гремячинск |Пермский край
342;3425023400;3425023499;100;Гремячинск |Пермский край
342;3425023600;3425023699;100;Гремячинск |Пермский край
342;3425024000;3425024159;160;Гремячинск |Пермский край
342;3425024200;3425024299;100;Гремячинск |Пермский край
342;3425027000;3425027999;1000;Гремячинск |Пермский край
342;3425029311;3425029450;140;Гремячинск |Пермский край
342;3425130000;3425131899;1900;Березовский |Пермский край
342;3425132000;3425132099;100;Березовский |Пермский край
342;3425132300;3425132599;300;Березовский |Пермский край
342;3425133100;3425133175;76;Березовский |Пермский край
342;3425133500;3425133599;100;Березовский |Пермский край
342;3425134000;3425134259;260;Березовский |Пермский край
342;3425134300;3425134399;100;Березовский |Пермский край
342;3425134610;3425134659;50;Березовский |Пермский край
342;3425134700;3425134799;100;Березовский |Пермский край
342;3425135100;3425135199;100;Березовский |Пермский край
342;3425137100;3425137299;200;Березовский |Пермский край
342;3425137400;3425137559;160;Березовский |Пермский край
342;3425137700;3425137799;100;Березовский |Пермский край
342;3425159200;3425159299;100;Березовский |Пермский край
342;3425221000;3425222599;1600;Кишертский |Пермский край
342;3425223000;3425223511;512;Кишертский |Пермский край
342;3425224000;3425224015;16;Кишертский |Пермский край
342;3425224100;3425224199;100;Кишертский |Пермский край
342;3425224300;3425224399;100;Кишертский |Пермский край
342;3425292300;3425292499;200;Кишертский |Пермский край
342;3425294500;3425294599;100;Кишертский |Пермский край
